ID;web-scraper-order;web-scraper-start-url;Expert;Expert-href;Title;Subtitle;Description;Image-src
1;1700469481-1;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/wouter-trappers/;Wouter Trappers;;Wouter Trappers is a Data Value Business Partner with more than 15 years of experience in Data and Analytics. He helps business leaders to create more value from their data as a Fractional CDAO. He is also the founder of Xudo.;https://xpertopinion.be/wp-content/uploads/2023/04/xpert-wouter-trappers2.jpg
2;1700469485-2;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/walter-van-uytven/;Walter Van Uytven;;Walter Van Uytven is a professional with a passion for developing startups by streamlining their structure and commercial organization and by doing so let them grow into an open network of other companies1. He has acquired experience and contacts during his career of setting up an ICT Integrator, an ICT buying group, an ICT channel and cloud division for a large incumbent telecom provider and finally … a world-class Belgian scale-up;https://xpertopinion.be/wp-content/uploads/2023/02/0B788A1F-B783-45C6-89F7-6D75C4046CAC.jpeg
3;1700469488-3;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/ulrik-van-schepdael/;Ulrik Van Schepdael;;Ulrik Van Schepdael is an expert in his field with a broad technology background and business acumen that drives and manages the success of an ICT company. He is an effective communicator who is creative and target-oriented. His specialties include leading high-tech businesses, managing the 4 P’s, innovation management, and strategic agility. Ulrik’s expertise in these areas makes him an ideal candidate to provide a second opinion. His ability to communicate effectively and his creativity make him a valuable asset to any team. Ulrik’s target-oriented approach ensures that he always delivers results that exceed expectations. His broad technology background combined with his business acumen makes him a valuable asset to any organization. Ulrik Van Schepdael is truly an expert in his field and a great choice for anyone seeking a second opinion;https://xpertopinion.be/wp-content/uploads/2023/02/6B149784-AC3C-43B8-A5EF-361BF969C79F.jpeg
4;1700469491-4;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/tom-schuyten/;Tom Schuyten;;Tom Schuyten is a great expert to provide a second opinion because he has a wealth of experience in software development and education. He is a co-founder of Gift2Give and Plugin2Drive, which are both software development companies that specialize in creating innovative solutions for their clients. He is also a lecturer at PXL, where he teaches students about software development. Tom Schuyten has a strong background in Java and backend Spring development, which makes him an expert in these fields. Additionally, he is an Atlassian enthusiast, which means he has extensive knowledge of Atlassian products. His experience and expertise make him an excellent choice for providing a second opinion on software development projects.;https://xpertopinion.be/wp-content/uploads/2023/04/xpert-tom-schuyten.jpg
5;1700469495-5;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/tine-van-brandt/;Tine Van Brandt;;Tine Van Brandt is the perfect expert to provide a second opinion via a one-hour video call, thanks to her extensive leadership experience as a change catalyst in large organizations. Tine's expertise in spearheading end-to-end transformations, from strategy to operational results, makes her uniquely qualified to offer valuable insights and guidance.;https://xpertopinion.be/wp-content/uploads/2023/05/xpert-tine-van-brandt.jpg
6;1700469498-6;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/tim-groenwals/;Tim Groenwals;CISO , ICT & Transformation Xpert;If you are looking for a second opinion on your IT challenges, you need someone who has the experience, the vision, and the passion to help you succeed. You need Tim Groenwals.;https://xpertopinion.be/wp-content/uploads/2023/04/xpert-tim-groenwals-899x1024.jpg
7;1700469501-7;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/stijn-vander-plaetse/;Stijn Vander Plaetse;;Stijn Vander Plaetse is a former vice president and CEO with over two decades of experience in the telecommunications, cloud and IT industry. He has led both retail and wholesale businesses in developing and implementing effective marketing and corporate strategies that resulted in increased revenue and customer satisfaction. He has also transformed and repositioned several companies and organizations to cope with changing market dynamics and customer expectations. He is an optimistic and driven professional who sees every challenge as an opportunity and who strives to balance the interests of customers, employees and companies. He values knowledge sharing and teamwork as key factors for success. He is an expert who can offer a refreshing second opinion on any marketing or corporate strategy related issues in the telecommunications, cloud or IT sector. His extensive experience, combined with his straightforward approach to business and his ability to provide valuable insights and recommendations, make him a reliable partner and a valuable asset to any organization seeking sustainable growth;https://xpertopinion.be/wp-content/uploads/2023/02/stjin.jpeg
8;1700469504-8;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/stijn-staes/;Stijn Staes;;Stijn Staes is an expert in leadership, personal development and business growth. He has a passion for helping individuals and organizations reach their full potential. Stijn’s approach is to help his clients rediscover and strengthen their leadership talents and ambitions. He is an expert to assist you when finding yourself at the crossroads of important career and business decisions. He does this by providing guidance and support throughout the journey. With his expertise, he can help you achieve your goals with more awareness, inspiration, passion, and joy. He can provide a hollistic view on leadership challenges;https://xpertopinion.be/wp-content/uploads/2023/03/xpert-stijn-staes.jpg
9;1700469507-9;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/steven-logghe/;Steven Logghe;Xpert Mobility;Dr. Ir. Steven Logghe is an expert in traffic engineering and data analysis with extensive experience in Floating Car Data, data fusion, traffic management, multimodal route planners and C-ITS solutions. He has worked for several companies including Be-Mobile before founding Movias in May 2021 where he continues to pursue his passion for traffic and mobility with assignments related to data, innovation, business development and governance.;https://xpertopinion.be/wp-content/uploads/2023/04/xpert-steven-logghe.jpg
10;1700469510-10;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/stephane-jacobs/;Stephane Jacobs;;Stephane Jacobs is a freelance mobility consultant and fin-tech entrepreneur with a Master’s degree in Transport Economics from the University of Antwerp. He has co-founded several innovative ventures in the fields of mobile parking, electronic meal vouchers, city gift cards and ship-to-shore facilities. He has also been managing director of Mobile-for, an affiliated company of Proximus and leading mobility service provider that offers traffic management and mobile payment solutions for the European market. Before that, he was senior manager at IBM Global Business Services and PWC, where he helped policy and decision makers with strategic decisions in various domains such as business strategy, performance improvement and investment analysis. He has extensive expertise in the public sector, public enterprises and ports, maritime and logistics sectors. Today, he is active as an external advisor of the Flemish Government regarding the transition towards zero emission transportation. Recently, he advised Mastercard regarding their in-car commerce strategy and Parking Brussels regarding their control processes. As an expert, he can provide a good second opinion on any mobility or fin-tech related cases.;https://xpertopinion.be/wp-content/uploads/2023/02/Stephane-zw-scaled-e1677279673470-955x1024.jpg
