id,directory,listing_title,listing_content,tag,category,publish_date,atbdp_post_views_count,listing_img,videourl,tagline,custom-url
"3840","general","Jean-Pierre Filippini","Jean-Pierre Filippini is a true embodiment of an innovative and people-centric leader. His sterling record showcases a profound understanding of commercial strategies and a commitment to producing results. His passion for integral leadership extends beyond merely setting goals; he creates a conducive environment that allows individual talents to flourish. He treats every challenge as an opportunity for innovation, bringing forth fresh and unconventional perspectives. But perhaps his greatest strength is in coaching. He is not just a guide; he is a mentor, providing a second opinion that is steeped in years of experience and wisdom. His hands-on approach to nurturing growth, development and success is truly inspiring. Filippini's style of leadership is unique and impactful. When he gives a second opinion, you know it's backed by a rich reservoir of knowledge and insight.

&nbsp;

[booknetic staff=72]","","Board Advisory,Corporate Strategy,Leadership Development,Purpose,Sales Strategy","2023-05-19 13:54:13","325","https://xpertopinion.be/wp-content/uploads/2023/05/xpert-jean-pierre-filippini.jpg","","","https://www.linkedin.com/in/jean-pierre-filippini-06a81a4/"
"3499","general","Inge Van Belle","Inge Van Belle, with her unique blend of 12+ years in start-ups/scale-ups and 10+ years of corporate experience in business consulting, PR, B2B sales, and marketing, primarily in ICT, is an expert in employee engagement and corporate culture. As a former Director of Communications, she applied her skills during the merger of Telindus and Proximus, further cementing her expertise. Having led employee experience projects in 10 countries, she has validated theoretical knowledge with practical experience, specializing in the 12 drivers of employee engagement and organisational culture.

As a Co-Founder of Herculean Alliance, she's committed to addressing the challenges of employee disconnection in hybrid work environments. Her book, “Employee Engagement, what else?” co-authored with Klaus Lommatzsch, is a testament to her mission. Also, her work as a strategic advisor to Dubai Police and as a keynote speaker for the United Nations Women underscores her authority in the field.

&nbsp;

[booknetic staff=57]

&nbsp;

&nbsp;","","Culture &amp; Diversity &amp; Inclusion,employer Value Proposition and Branding,Engagement","2023-05-14 21:10:44","393","https://xpertopinion.be/wp-content/uploads/2023/05/xpert-inge-van-belle.jpg","","","https://www.linkedin.com/in/ingevanbelle/"
"3428","general","Bjorn Crul","Bjorn Crul is an outstanding expert, offering a 360° perspective on the world of communication, with experience spanning print, radio, TV, events, and social media. His diverse background includes work at VRT, Focus-WTV, Roularta, and KanaalZ, among others.

Today, Bjorn applies his expertise in B2B communication, providing strategic advice, press relations, copywriting, and journalistic services to a wide range of clients. Blessed with a healthy dose of creativity and strategic insight, Bjorn is passionate about engaging audiences with compelling content and clear messaging.

Choosing Bjorn Crul for a second opinion guarantees expert guidance and support from a seasoned communication professional. Trust in his expertise, and seize the opportunity to elevate your organization's communication strategy under his direction. Let Bjorn's knowledge and experience inspire you to reach new heights in audience engagement and business success.

&nbsp;

[booknetic staff=53]","","Event Marketing,Go 2 Market,Podcasts in the mix,Pr&amp;Communication,Public Relations","2023-05-08 21:43:13","470","https://xpertopinion.be/wp-content/uploads/2023/05/xpert-bjorn-crul.jpg","","","https://www.linkedin.com/in/bjorncrul/"
"3415","general","Birgit Wauters","Birgit Wauters is to provide an Xpertopinion via a one-hour video call, with extensive experience in customer interaction and CRM capabilities. Having served at AXA and ING, she possesses a deep understanding of consumer behavior and marketing communication.

Birgit's impressive academic background, including a PhD in Applied Sciences from Vrije Universiteit Brussel, equips her with valuable insights to transform your organization's approach to customer engagement. As an educator, she effectively communicates complex concepts, ensuring a productive and insightful video call.

Choosing Birgit Wauters guarantees expert guidance and support from a seasoned professional. Trust in her expertise, and seize the opportunity to elevate your organization's customer interaction strategy under her direction. Let her knowledge and experience inspire you to reach new heights in customer engagement and business success.

&nbsp;

[booknetic staff=50]","","Digital &amp; Social Marketing,Funnel Analysis,Lead Generation,Product Management,Strategic Marketing","2023-05-07 21:14:49","429","https://xpertopinion.be/wp-content/uploads/2023/05/xpert-birgit-wauters.jpg","","","https://www.linkedin.com/in/birgit-wauters-77328729/"
"3409","general","Tine Van Brandt","Tine Van Brandt is the perfect expert to provide a second opinion via a one-hour video call, thanks to her extensive leadership experience as a change catalyst in large organizations. Tine's expertise in spearheading end-to-end transformations, from strategy to operational results, makes her uniquely qualified to offer valuable insights and guidance.

In a single hour, Tine can help identify areas of growth, design effective organizational strategies, and set a course for success. Her proven ability to drive change and foster innovation will inspire you to transform your organization and unlock its full potential.

Tine's holistic approach, encompassing organizational design, programming, planning, and delivery, ensures comprehensive solutions tailored to your needs. As an experienced leader, her perspectives are invaluable in navigating the rapidly evolving business landscape.

&nbsp;

[booknetic staff=48]","","Channel Sales,Product Management,Recruitement &amp; Onboarding,Startup &amp; Scaling","2023-05-07 05:51:38","476","https://xpertopinion.be/wp-content/uploads/2023/05/xpert-tine-van-brandt.jpg","","","https://www.linkedin.com/in/tine-van-brandt-57b397/"
"3403","general","Jan Colpaert","Jan Colpaert's vast experience and skill set make him the ideal expert for a second opinion. As a marketing and retail director, he boasts a proven track record in fast-moving consumer goods and fashion/apparel industries. His expertise in brand strategy, data-driven marketing, and retail marketing showcases his mastery of the field.

Jan's international experience in fast-paced environments has refined his ability to adapt and excel under pressure. A results-driven strategist, his 'out of the box' thinking speaks to his creativity and innovation.

Jan's dynamic leadership and ability to inspire teams set him apart. Specializing in global brand stewardship, advertising, communications, brand positioning, digital marketing, store concepts, retail marketing, team building, and change management, his expertise is unparalleled.

Trust Jan Colpaert for insightful guidance and unmatched support. Be inspired by his passion and expertise, and watch your business flourish under his expert guidance. Seek no further than Jan Colpaert for a unique perspective and innovative solutions.

&nbsp;

[booknetic staff=46]","","Branding,Digital &amp; Social Marketing,Event Marketing,Purpose,Strategic Marketing","2023-05-07 05:29:41","410","https://xpertopinion.be/wp-content/uploads/2023/05/xpert-jan-colpaert.jpg","","","https://www.linkedin.com/in/jan-colpaert-b705388/"
"3336","general","Gino Geysermans","Gino Geysermans is a sales expert with over 20 years of experience in different sales and management roles. He has led both sales and pre-sales teams primarily in Large Enterprise. Experience matter expert in integrating sales teams post acquisition,steering teams through times of change and sales enablement. He is human-oriented and contagious in his enthusiasm. He tends to bring out the best in people and make teams perform above expectation. He believes in strengthening the stronger skills than focus on the less developed ones.

&nbsp;

He is open-minded, discreet and professional which makes it easy for him to win over people. Establishing trustworthy and sustainable relations, both with colleagues and customers is second nature.

Being a translator his communication skills help to build bridges and clearly communicate. His ability to empathize with people and his overall interest in different cultures have often made it easy for him to mediate and anticipate.

&nbsp;

[booknetic staff=45]","","account &amp; opportunity,Channel Sales,Remuneration &amp; Incentives,Sales Strategy,Value Selling","2023-05-04 21:38:40","292","https://xpertopinion.be/wp-content/uploads/2023/05/xpert-gino-geysermans.jpg","","","https://www.linkedin.com/in/gino-geysermans-0b97962/"
"3323","general","Nathalie Delaere","Nathalie Delaere, a seasoned professional with 26 years of experience in the financial sector and a recently earned Master of
Arts in Gender and Diversity. Nathalie offers a truly unique combination of experience as a senior executive manager and
expertise in diversity and inclusion.
With a background in law, Nathalie has honed her expertise in the field, having spent 9 years as an attorney and 17 years as general
counsel and tax director of a prominent Belgian financial institution.
Having recently graduated magna cum laude with a Master's thesis on gender equality in the Belgian financial sector, Nathalie has a clear
vision on the subject. With this extensive research, she has a unique and valuable perspective on the professional challenges faced by
women, the steps that can be taken to overcome them and how to increase substantive gender equality in organizations.

With a wealth of experience and a deep understanding of the intersection between finance and diversity &amp; inclusion, she is now
starting a new venture that aims to raise awareness about substantial equality and inspire action towards sustainable inclusion in
companies.

&nbsp;

[booknetic staff=38]","","Board Advisory,Culture &amp; Diversity &amp; Inclusion,Leadership Development,Purpose,Sustainability","2023-05-04 20:37:37","393","https://xpertopinion.be/wp-content/uploads/2023/05/xpert-nathalie-delaere-1.jpg","","","https://www.linkedin.com/in/nathalie-delaere/"
"3301","general","Laurence Vanhoenacker","<blockquote>Laurence beschikt over een stevige expertise in strategisch management en is gekend voor haar enthousiaste, resultaatgerichte en no-nonsens aanpak.

Ze is 20 jaar aan de slag binnen Wolters Kluwer Legal&amp;Regulatory en vandaag o.a. verantwoordelijk voor de bedrijfsstrategie en de implementatie ervan.

In haar vrije tijd is ze ook meter bij Plato (VOKA) om al even enthousiaste ondernemers bij te staan met raad en daad zodat ze de goede keuzes kunnen/leren maken om verder te groeien met hun bedrijf.

Uw onderneming naar een volgend niveau brengen, daar draait het om.

Zij zal u helpen de juiste inzichten te geven met betrekking tot uw core portfolio &amp; business. Vervolgens kan zij u begeleiden in het maken van de juiste weloverwogen keuzes.

En tenslotte kan ze u adviseren in het uittekenen van groeistrategieën zowel horizontaal als verticaal (fusies en overnames, innovatie, continue verbetering, marktontwikkeling, etc.).

Elke beslissing moet een impact hebben op de waarde van uw onderneming. Voor minder gaan we niet.

Binnen het team van XpertOpinion is zij dus zeker een ideale sparringpartner om uw idee te challengen of om u een 2de mening te geven als u even door de bomen het bos niet meer ziet.

Haar vakgebieden: Bedrijfsstrategie opzetten en implementeren, Portfolio en business-analyse, Marktanalyse, Groeistrategieën bepalen, Purpose, en Business Ideeën challengen.</blockquote>
&nbsp;

[booknetic staff=32]","","Business Ideas,Corporate Strategy,Project Management,Purpose,Value Selling","2023-05-02 21:55:17","368","https://xpertopinion.be/wp-content/uploads/2023/05/xpert-laurence-vanhoenacker.jpg","","","https://www.linkedin.com/in/laurencevanhoenacker/"
"3297","general","Griet De Bevere","'The common thread throughout my activities is building a sustainable well-being policy. With a focus on the interaction between physical and mental health, combined with the acquisition of the right skills, I am an expert in my domain. My passion is to empower organizations, teams, and individuals, helping them to become resilient and harness their strengths. As an expert in business-related matters, Griet is the perfect person to provide a second opinion and help guide decisions towards success.'

&nbsp;

&nbsp;

[booknetic staff=30]","","Compen &amp; Ben,HR tooling,Hybrid Working,Leadership Development,Learning and Talent Development,People Strategy","2023-05-02 21:39:05","337","https://xpertopinion.be/wp-content/uploads/2023/05/xpert-griet-de-bevere.jpg","","","https://www.linkedin.com/in/grietdebevere/"
