ID;Name;Type;Gender;Event language;Photo;Short description;Translation language;Topics;Other criteria;Published;About
571;Alain Leduc;Speaker, Moderator;Male;French, English;https://readmylips.be/sites/default/files/speakers/Leduc_Alain_200129_4_RML_0.jpg;Alain Leduc comme orateur à votre évènement ? Contactez Read My Lips, notre bureau d’orateurs spécialisés !;English;"Media &amp; culture, Media, Marketing &amp; communication, Marketing, Sales &amp; Customer Service, PR &amp; Communication, Entertainment, Leisure, Travel, Sport, Management, Enterprise, Strategy, HR &amp; Wellbeing, Corporate Culture, Technology &amp; innovation, Innovation &amp; Trends, Creativity";;Yes;"Who is Alain Leduc?
Alain Leduc is the founder of Creativores, a company that activates, develops and manages creativity, innovation and change in companies. Passionate about creativity for over 25 years, Alain leads creative missions, seminars and conferences in 14 countries. His approach to the subject combines originality and relevance.
He is also a creativity trainer at the ICHEC PME and the HEC Practical School in Brussels and Louvain la Neuve.
Alain deals with the following themes: creativity, innovation, change, agility, disruption, transformation, management, leadership, collaboration, strategy, corporate culture, new jobs for the future.
He has worked for 15 years in several industries: Trading, Retail, Consulting, Finance and Banking.
In 2008, Alain founded Creativores and launched (in 2012) PUNK Management©, a disruptive approach to transgressing conventions, shaking up soporific habits, challenging the status quo and moving a team, a project, a company forward.
His interventions are real detonators of creativity. Themes such as ""Punk Management"", ""Customer Xperience"", and ""Wake up"" aim at shaking up and surprising people.
His conferences and seminars are inspiring and impactful experiences where participants are put in a situation to change the way they see, think and do things. His facilitation style combines dynamism, interactivity and humour.
Alain has worked in French and English in 12 European countries as well as in China (Shanghai) and the United Arab Emirates (Dubai).
References: TOYOTA, Schweppes, AUDI, BNP Paribas, BAXTER, Groupe ROSSEL, RTBF-RMB, ESSILOR, ING, ENGIE, AG Insurance, DELHAIZE, UNISYS, RTL, Boehringer-Inglheim, BESIX, IBA, LATTOFLEX, Mediafin (L'Echo), European Commission, Shurgard Storage Europe, BPOST, Jones Lang LaSalle, etc."
571;Alain Leduc;Speaker, Moderator;Male;French, English;https://readmylips.be/sites/default/files/speakers/Leduc_Alain_200129_4_RML_0.jpg;Alain Leduc comme orateur à votre évènement ? Contactez Read My Lips, notre bureau d’orateurs spécialisés !;French;Médias et culture, Media, Marketing et communication, Marketing, Ventes et service à la clientèle, Relations publiques et communication, Divertissement, Loisirs, Voyages, Sport, Management, Entreprendre, Stratégie, RH et bien-être, Culture d’entreprise, Technologie et innovation, Innovation et tendances, Créativité;;Yes;"Qui est Alain Leduc ?
Alain Leduc est le fondateur de la société Creativores dont l’activité consiste à activer, développer, gérer la créativité, l’innovation et le changement dans les entreprises. Passionné de créativité depuis plus de 25 ans, Alain conduit des missions créatives, anime des séminaires et des conférences dans 14 pays. Son approche du sujet combine originalité et pertinence.
Il intervient également en tant que formateur en créativité à l’ICHEC PME et à l’Ecole Pratique HEC de Bruxelles et de Louvain la Neuve.
Alain traite les thématiques suivantes : créativité, innovation, changement, agilité, disruption, transformation, management, leadership, collaboration, stratégie, culture d’entreprise, nouveaux metiers pour le futur.
Il a travaillé 15 ans en entreprise dans plusieurs secteurs d’activité : Trading, Grande Distribution, Retail, Conseils, Finance et Banque.
En 2008, Alain fonde Creativores et lance (en 2012) le PUNK Management©, une approche disruptive pour transgresser les conventions, secouer les habitudes soporifiques, challenger le statu-quo et faire progresser une équipe, un projet, une entreprise.
Ses interventions sont de véritables détonateurs de créativité. Les thématiques telles que « Punk Management », « Customer Xperience », et « Wake up » visent à bousculer et surprendre les esprits.
Ses conférences et séminaires sont des expériences inspirantes et percutantes au cours desquelles les participants sont mis en situation afin de changer leur façon de voir, penser et faire les choses. Son style d’animation combine dynamisme, interactivité et humour.
Alain intervient en français et en anglais dans 12 pays européens ainsi qu’en Chine (Shanghai) et aux Emirats Arabes Unis (Dubai).
Références : TOYOTA, Schweppes, AUDI, BNP Paribas, BAXTER, Groupe ROSSEL, RTBF-RMB, ESSILOR, ING, ENGIE, AG Insurance, DELHAIZE, UNISYS, RTL, Boehringer-Inglheim, BESIX, IBA, LATTOFLEX, Mediafin (L’Echo), Commission Européenne, Shurgard Storage Europe, BPOST, Jones Lang LaSalle, etc."
1195;André Pelgrims;Speaker;Male;Dutch;https://readmylips.be/sites/default/files/speakers/Afbeelding1_zw_.png;"André Pelgrims as a speaker at your event? Feel free to contact speakers&#039; bureau Read My Lips for more information.";English;"Change, Management, HR &amp; Wellbeing";;Yes;"Who is André Pelgrims?
To bring about real change, you need someone who dares to think outside the box. Someone who is willing to be a bit disruptive and can effectively challenge people. Someone who, regardless of what traditional business schools teach, can show people that living according to patterns of expectations can undermine their true potential, and who is capable of puncturing this facade with respect. André is such a person. He brings forth humanity in a particularly effective way, away from masks and facades. He instills more honesty and strength in teams, regardless of where that team is positioned. In this aspect, we all have much to learn. Puncturing the ""Me, Myself &amp; I-culture"" is the only way to achieve true collaboration, creativity, and innovation. The movement he manages to create in organizations is the lever that can ultimately transform the culture of an organization sustainably.
Quote: Dr. Paul Stoffels (With Heart and Soul. Guide for change agents. 2013)

          
  












    

  


  
  
      

      Request your offer"
1195;André Pelgrims;Speaker;Male;Dutch;https://readmylips.be/sites/default/files/speakers/Afbeelding1_zw_.png;André Pelgrims comme orateur à votre évènement ? Contactez Read My Lips, notre bureau d’orateurs spécialisés !;French;Change, Management, RH et bien-être;;Yes;"Qui est André Pelgrims ?
Pour apporter un changement réel, il faut quelqu'un qui ose penser en dehors des sentiers battus. Quelqu'un qui ose être un peu dérangeant et qui peut défier les gens de manière très efficace. Quelqu'un qui, indépendamment de ce que les écoles de commerce classiques enseignent, peut montrer aux gens que vivre selon des schémas d'attentes peut compromettre leur véritable potentiel, et qui est capable de percer cette façade avec respect. André est une telle personne. Il fait émerger de manière particulièrement efficace l'humanité, loin des masques et des façades. Il apporte plus d'honnêteté et de force aux équipes, peu importe leur position. À ce niveau, nous avons tous à apprendre. Percer la culture du ""Moi, Moi-même et Je"" est la seule façon d'atteindre une véritable collaboration, créativité et innovation. Le mouvement qu'il parvient ainsi à créer au sein des organisations est le levier qui peut finalement transformer durablement la culture d'une organisation.
Citation : Dr. Paul Stoffels (Avec cœur et âme. Guide pour les agents du changement. 2013)

          
  












    

  


  
  
      

      Demander votre offre"
1195;André Pelgrims;Speaker;Male;Dutch;https://readmylips.be/sites/default/files/speakers/Afbeelding1_zw_.png;André Pelgrims als spreker op jouw evenement? Neem vrijblijvend contact op met sprekersbureau Read My Lips voor meer informatie.;Dutch;"Change, Management, HR &amp; wellbeing";;Yes;"Wie is André Pelgrims?
Om echte verandering teweeg te brengen, heb je iemand nodig die out of the box durft te denken. Iemand die een beetje dwars durft te zitten en mensen op een zeer effectieve manier kan uitdagen. Iemand die wars van wat klassieke business-scholen onderwijzen, mensen kan laten zien dat leven naar verwachtingspatronen hun echte potentieel kan ondermijnen, en die in staat is deze façade met respect te doorprikken. André is zo een persoon. Hij haalt op een bijzonder effectieve manier de mens tevoorschijn, weg van maskers en façades. Hij brengt meer eerlijkheid en kracht in teams, onafgezien waar dit team gepositioneerd is. Op dat vlak hebben we met zijn allen te leren. Het kunnen doorprikken van de ""Me, Myself &amp; I-cultuur"" is de enige manier om te komen tot ware samenwerking, creativiteit en innovatie. De beweging die hij op die manier weet tot stand te brengen in organisaties, is de hefboom die uiteindelijk de cultuur van een organisatie duurzaam kan omvormen.
Citaat: Dr. Paul Stoffels (Met Hart en Ziel. Handleiding voor change agents. 2013)

          
  












    

  


  
  
      

      Vraag je offerte aan"
793;Angelica Krsteski;Speaker;Female;Dutch, English;https://readmylips.be/sites/default/files/speakers/Krsteski_Angelica_211026_6.jpg;"Angelica Krsteski as a speaker at your event? Feel free to contact speakers&#039; bureau Read My Lips for more information.";English;"Current affairs, Society &amp; Diversity, Philosophy, Religion and Spirituality, Management, Strategy, HR &amp; Wellbeing, Corporate Culture, Work/Life Balance";;Yes;"Who is Angelica Krsteski?
Hi, I am Angelica, a creative jack-of-all-trades who has gone from being an engineer to a marketing strategist and to a champion of a people-oriented approach in organisations. 
My own career has been anything but a straight line. I am therefore constantly making adjustments and dare to forge new paths if it suits who I am. I spent most of my working career at a large corporation, 3M, where I was allowed to take the initiative, lead innovation projects and even manage my own division. 
Did I always know who I was? I think not. After experiencing a burn-out myself and running up against my limits, I began what was an unprecedented process in terms of my own development. A process in which I looked at my own role, personality and responsibility, but also with the ambition to indicate how things can be done differently in a (large) organisation. Namely by building on each person’s strengths, giving them the space to be themselves, so as to contribute to a common goal.
I am therefore happy to share my own experience in the business world and my personal path on how to make your team stronger, experience greater resilience and provide insight into how you can take several steps forward by taking a step back. Disconnect from your daily hustle and bustle in order to reconnect with yourself, your team and your goal.
Today, I am a transformation coach and consultant, the founder of BUDDI, an adam coach and yoga lecturer.
 

          
  












    

  


  
  
      

      Request your offer"
793;Angelica Krsteski;Speaker;Female;Dutch, English;https://readmylips.be/sites/default/files/speakers/Krsteski_Angelica_211026_6.jpg;Angelica Krsteski comme orateur à votre évènement ? Contactez Read My Lips, notre bureau d’orateurs spécialisés !;French;Le monde actuel, Société et diversité, Philosophie, religion et spiritualité, Management, Stratégie, RH et bien-être, Culture d’entreprise, Équilibre travail/vie privée;;Yes;"Qui est Angelica Krsteski?
Salut, je suis Angelica, une touche-à-tout créative, passant d'ingénieur à stratège marketing, et de là, devenant défenseure d'une approche centrée sur l'humain au sein des organisations.
Mon parcours professionnel est loin d'être linéaire. Je corrige constamment ma trajectoire et n'hésite pas à emprunter de nouveaux chemins qui correspondent à qui je suis. J'ai principalement travaillé dans une grande entreprise, 3M, où j'ai pu prendre des initiatives, diriger des projets d'innovation et même superviser ma propre division.
Est-ce que j'ai toujours su exactement qui j'étais ? Je ne pense pas. En faisant moi-même l'expérience d'un burn-out et en atteignant mes limites, j'ai entamé un processus de croissance inédit de mon propre développement. Un processus où j'ai examiné mon propre rôle, ma personnalité et ma responsabilité, tout en ayant l'ambition de montrer comment les choses peuvent être différentes dans une (grande) organisation. À savoir, en mettant en avant les forces de chaque individu, en donnant de l'espace pour être soi-même et en contribuant ainsi collectivement à un objectif commun.
C'est pourquoi je suis heureuse de partager mon expérience dans le monde des affaires et mon parcours personnel pour renforcer votre équipe, lui donner plus de résilience et fournir des insights sur la façon dont prendre du recul peut vous faire avancer de plusieurs pas. Déconnectez-vous un instant de l'agitation quotidienne pour vous reconnecter avec vous-même, votre équipe et votre objectif.
Aujourd'hui, je suis coach en transformation et consultante, fondatrice de BUDDI, adamcoach et professeure de yoga.

          
  












    

  


  
  
      

      Demander votre offre"
793;Angelica Krsteski;Speaker;Female;Dutch, English;https://readmylips.be/sites/default/files/speakers/Krsteski_Angelica_211026_6.jpg;Angelica Krsteski als spreker op jouw evenement? Neem vrijblijvend contact op met sprekersbureau Read My Lips voor meer informatie.;Dutch;"De wereld vandaag, Samenleving &amp; diversiteit, Filosofie, religie &amp; spiritualiteit, Management, Strategie, HR &amp; wellbeing, Bedrijfscultuur, Balans werk/leven";;Yes;"Wie is Angelica Krsteski?
Hoi, ik ben Angelica, een creatieve duizendpoot, wat me van ingenieur naar marketingstrateeg én naar voorvechter van een mens-gerichte aanpak in organisaties heeft gebracht. 
Mijn eigen carrièrepad loopt verre van in een rechte lijn. Ik stuur dan ook constant bij en durf nieuwe wegen in te slaan als het past bij wie ik ben. Mijn werknemerscarrière bracht ik grotendeels door bij een grote corporate, 3M, waar ik initiatief mocht nemen, innovatieprojecten kon leiden en zelfs een eigen divisie kon aansturen. 
Wist ik dan altijd helemaal wie ik was? Ik denk het niet. Door zelf een burn-out te ervaren en tegen mijn grenzen aan te lopen ben ik een ongekend groeiproces van mijn eigen ontwikkeling begonnen. Een proces waarbij ik ging kijken naar mijn eigen rol, persoonlijkheid en verantwoordelijkheid maar ook de ambitie had om aan te geven hoe het anders kan in een (grote) organisatie. Namelijk door elk mens op zijn eigen sterkte te wijzen, ruimte te geven om jezelf te zijn en zo samen bij te dragen aan een gezamenlijk doel.
Ik deel daarom graag mijn eigen ervaring in de zakelijke wereld én mijn persoonlijk pad om jullie team sterker te maken, meer veerkracht te geven en inzicht te verschaffen in hoe je door een stap terug te zetten, meerdere stappen vooruit zet. Even deconnecteren van je dagelijkse drukte om terug te connecteren met jezelf, je team en je doel.
Vandaag ben ik transformatiecoach en consultant, founder van BUDDI, adamcoach en yogadocent.
 

          
  












    

  


  
  
      

      Vraag je offerte aan"
47;Anik Vandercruyssen;Moderator;Female;Dutch, French, English;https://readmylips.be/sites/default/files/speakers/Vandercruysen_Anik%20%285%29.jpg;Who is Anik Vandercruyssen?;English;"Media &amp; culture, Management";Non-profit;Yes;"Who is Anik Vandercruyssen?
Anik Vandercruyssen grew up on the coast, but soon spread her wings and now lives in Brussels. After studying languages, she entered the world of music, theater and film. Her language skills and extensive stage experience now help her in her job as a presenter of corporate events. She is also well known for having been the face of various awareness campaigns, including on traffic safety and sexual street harassment.
Anik always guarantees a thorough preparation and she pairs a warm charisma with an infectious enthusiasm, with plenty of room for humor. Through her charming and warm personality, she adds color and depth to the corporate events she always manages."
47;Anik Vandercruyssen;Moderator;Female;Dutch, French, English;https://readmylips.be/sites/default/files/speakers/Vandercruysen_Anik%20%285%29.jpg;Wie is Anik Vandercruyssen?;French;Médias et culture, Management;Non-profit;Yes;"Qui est Anik Vandercruyssen ?
Anik Vandercruyssen a grandi sur la côte, mais a rapidement déployé ses ailes et vit désormais à Bruxelles. Après avoir étudié les langues, elle est entrée dans le monde de la musique, du théâtre et du cinéma. Ses compétences linguistiques et sa grande expérience de la scène l'aident désormais dans son travail de présentatrice d'événements d'entreprise. Elle est également connue pour avoir été le visage de diverses campagnes de sensibilisation, telles que la sécurité routière et le harcèlement sexuel dans la rue.
Anik garantit toujours une préparation minutieuse et elle associe un charisme chaleureux à un enthousiasme contagieux, avec beaucoup de place pour l'humour. Avec sa personnalité charmante et chaleureuse, elle ajoute de la couleur et de la profondeur aux événements d'entreprise qu'elle gère toujours."
